#date     expnum ccd id ccdnum
#select nite || ' ' || expnum || ' nan N15  46' as lightbulb from exposure 
# where expnum >= 694884 and expnum <= 698401 and obstype = 'object' order by expnum asc;
20171112 695664 nan N15  46
20171112 695665 nan N15  46
20171112 695666 nan N15  46
20171112 695667 nan N15  46
20171112 695668 nan N15  46
20171112 695669 nan N15  46
20171112 695670 nan N15  46
20171112 695671 nan N15  46
20171112 695672 nan N15  46
20171112 695673 nan N15  46
20171112 695674 nan N15  46
20171112 695675 nan N15  46
20171112 695676 nan N15  46
20171112 695677 nan N15  46
20171112 695678 nan N15  46
20171112 695679 nan N15  46
20171112 695680 nan N15  46
20171112 695681 nan N15  46
20171112 695682 nan N15  46
20171112 695683 nan N15  46
20171112 695684 nan N15  46
20171112 695685 nan N15  46
20171112 695686 nan N15  46
20171112 695687 nan N15  46
20171112 695688 nan N15  46
20171112 695689 nan N15  46
20171112 695690 nan N15  46
20171112 695691 nan N15  46
20171112 695692 nan N15  46
20171112 695693 nan N15  46
20171112 695694 nan N15  46
20171112 695695 nan N15  46
20171112 695696 nan N15  46
20171112 695697 nan N15  46
20171112 695698 nan N15  46
20171112 695699 nan N15  46
20171112 695700 nan N15  46
20171112 695701 nan N15  46
20171112 695702 nan N15  46
20171112 695703 nan N15  46
20171112 695704 nan N15  46
20171112 695705 nan N15  46
20171112 695706 nan N15  46
20171112 695707 nan N15  46
20171112 695708 nan N15  46
20171112 695709 nan N15  46
20171112 695710 nan N15  46
20171112 695711 nan N15  46
20171112 695712 nan N15  46
20171112 695713 nan N15  46
20171112 695714 nan N15  46
20171112 695715 nan N15  46
20171112 695716 nan N15  46
20171112 695717 nan N15  46
20171112 695718 nan N15  46
20171112 695719 nan N15  46
20171112 695720 nan N15  46
20171112 695721 nan N15  46
20171112 695722 nan N15  46
20171112 695723 nan N15  46
20171112 695724 nan N15  46
20171112 695725 nan N15  46
20171112 695726 nan N15  46
20171112 695727 nan N15  46
20171112 695728 nan N15  46
20171112 695729 nan N15  46
20171112 695730 nan N15  46
20171112 695731 nan N15  46
20171112 695732 nan N15  46
20171112 695733 nan N15  46
20171112 695734 nan N15  46
20171112 695735 nan N15  46
20171112 695736 nan N15  46
20171112 695737 nan N15  46
20171112 695738 nan N15  46
20171112 695739 nan N15  46
20171112 695740 nan N15  46
20171112 695741 nan N15  46
20171112 695742 nan N15  46
20171112 695743 nan N15  46
20171112 695744 nan N15  46
20171112 695745 nan N15  46
20171112 695746 nan N15  46
20171112 695747 nan N15  46
20171112 695748 nan N15  46
20171112 695749 nan N15  46
20171112 695750 nan N15  46
20171112 695751 nan N15  46
20171112 695752 nan N15  46
20171112 695753 nan N15  46
20171112 695754 nan N15  46
20171112 695755 nan N15  46
20171112 695756 nan N15  46
20171112 695757 nan N15  46
20171112 695758 nan N15  46
20171112 695759 nan N15  46
20171112 695760 nan N15  46
20171112 695761 nan N15  46
20171112 695762 nan N15  46
20171112 695763 nan N15  46
20171112 695764 nan N15  46
20171112 695765 nan N15  46
20171112 695766 nan N15  46
20171112 695767 nan N15  46
20171112 695768 nan N15  46
20171112 695769 nan N15  46
20171112 695770 nan N15  46
20171112 695771 nan N15  46
20171112 695772 nan N15  46
20171112 695773 nan N15  46
20171112 695774 nan N15  46
20171112 695775 nan N15  46
20171112 695776 nan N15  46
20171112 695777 nan N15  46
20171112 695778 nan N15  46
20171112 695779 nan N15  46
20171112 695780 nan N15  46
20171112 695781 nan N15  46
20171112 695782 nan N15  46
20171112 695783 nan N15  46
20171112 695784 nan N15  46
20171112 695785 nan N15  46
20171112 695786 nan N15  46
20171112 695787 nan N15  46
20171112 695788 nan N15  46
20171112 695789 nan N15  46
20171112 695790 nan N15  46
20171112 695791 nan N15  46
20171112 695792 nan N15  46
20171112 695793 nan N15  46
20171112 695794 nan N15  46
20171112 695795 nan N15  46
20171112 695796 nan N15  46
20171112 695797 nan N15  46
20171112 695798 nan N15  46
20171112 695799 nan N15  46
20171112 695800 nan N15  46
20171112 695801 nan N15  46
20171112 695802 nan N15  46
20171112 695803 nan N15  46
20171112 695804 nan N15  46
20171112 695805 nan N15  46
20171112 695806 nan N15  46
20171112 695807 nan N15  46
20171112 695808 nan N15  46
20171112 695809 nan N15  46
20171112 695810 nan N15  46
20171112 695811 nan N15  46
20171112 695812 nan N15  46
20171112 695813 nan N15  46
20171112 695814 nan N15  46
20171112 695815 nan N15  46
20171112 695816 nan N15  46
20171112 695817 nan N15  46
20171112 695818 nan N15  46
20171112 695819 nan N15  46
20171112 695820 nan N15  46
20171112 695821 nan N15  46
20171112 695822 nan N15  46
20171112 695823 nan N15  46
20171112 695824 nan N15  46
20171112 695825 nan N15  46
20171112 695826 nan N15  46
20171112 695827 nan N15  46
20171112 695828 nan N15  46
20171112 695829 nan N15  46
20171112 695830 nan N15  46
20171112 695831 nan N15  46
20171112 695832 nan N15  46
20171112 695833 nan N15  46
20171113 695969 nan N15  46
20171113 695970 nan N15  46
20171113 695986 nan N15  46
20171113 696011 nan N15  46
20171113 696060 nan N15  46
20171113 696071 nan N15  46
20171113 696090 nan N15  46
20171114 696264 nan N15  46
20171114 696268 nan N15  46
20171114 696271 nan N15  46
20171114 696272 nan N15  46
20171114 696273 nan N15  46
20171114 696274 nan N15  46
20171114 696281 nan N15  46
20171114 696282 nan N15  46
20171114 696283 nan N15  46
20171114 696290 nan N15  46
20171114 696291 nan N15  46
20171114 696292 nan N15  46
20171114 696299 nan N15  46
20171114 696309 nan N15  46
20171114 696323 nan N15  46
20171114 696324 nan N15  46
20171114 696325 nan N15  46
20171114 696326 nan N15  46
20171114 696327 nan N15  46
20171114 696328 nan N15  46
20171114 696329 nan N15  46
20171114 696331 nan N15  46
20171114 696346 nan N15  46
20171114 696347 nan N15  46
20171114 696356 nan N15  46
20171114 696357 nan N15  46
20171114 696369 nan N15  46
20171114 696378 nan N15  46
20171114 696379 nan N15  46
20171114 696386 nan N15  46
20171114 696387 nan N15  46
20171114 696388 nan N15  46
20171114 696389 nan N15  46
